business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Predicted_date
U001,0200778870,C systems,,2020.0,1930685452.0,2020-03-23,2020-03-22,2020-03-23,2020-04-07,USD,RV,1.0,421.51,2020-03-23,NAA8,1930685452.0,1,2020-04-08
U001,0200743123,KROGER associates,,2020.0,1930652963.0,2020-03-16,2020-03-15,2020-03-16,2020-03-31,USD,RV,1.0,128416.53,2020-03-16,NAA8,1930652963.0,1,2020-04-01
U001,0100053298,GLOBA associates,,2020.0,1930774230.0,2020-04-10,2020-04-10,2020-04-10,2020-04-25,USD,RV,1.0,2484.8,2020-04-10,NAA8,1930774230.0,1,2020-04-26
U001,0100001196,DOLLAR us,,2020.0,1930673320.0,2020-03-20,2020-03-19,2020-03-20,2020-04-04,USD,RV,1.0,27349.06,2020-03-20,NAA8,1930673320.0,1,2020-04-05
U001,0200384225,ADAMS  ,,2020.0,1930669977.0,2020-03-26,2020-03-19,2020-03-26,2020-04-10,USD,RV,1.0,12886.2,2020-03-26,NAA8,1930669977.0,1,2020-04-11
U001,0200793568,SUPE co,,2020.0,1930693668.0,2020-03-25,2020-03-25,2020-03-25,2020-04-09,USD,RV,1.0,19479.09,2020-03-25,NAA8,1930693668.0,1,2020-04-10
U001,0200704858,WAKE associates,,2020.0,1930687828.0,2020-03-24,2020-03-23,2020-03-24,2020-04-08,USD,RV,1.0,21876.56,2020-03-24,NAA8,1930687828.0,1,2020-04-09
U001,0200769623,WAL-MAR trust,,2020.0,1930796286.0,2020-04-18,2020-04-18,2020-04-18,2020-05-03,USD,RV,1.0,5550.95,2020-04-18,NAH4,1930796286.0,1,2020-05-01
U001,0200749782,KROG trust,,2020.0,1930651329.0,2020-03-13,2020-03-14,2020-03-13,2020-03-28,USD,RV,1.0,16264.93,2020-03-13,NAA8,1930651329.0,1,2020-03-29
U001,0200803720,DEC foundation,,2020.0,1930773162.0,2020-04-10,2020-04-10,2020-04-10,2020-04-11,USD,RV,1.0,3818.49,2020-04-01,NAM2,1930773162.0,1,2020-04-09
U001,0200744019,TARG co,,2020.0,1930763687.0,2020-04-10,2020-04-08,2020-04-10,2020-04-25,USD,RV,1.0,16068.97,2020-04-10,NAA8,1930763687.0,1,2020-04-26
U001,0200763489,GENERAL ,,2020.0,1930796849.0,2020-04-17,2020-04-16,2020-04-17,2020-05-02,USD,RV,1.0,121260.16,2020-04-17,NAA8,1930796849.0,1,2020-05-03
U001,0200782001,GORDO foundation,,2020.0,1930581284.0,2020-02-28,2020-02-28,2020-02-28,2020-03-31,USD,RV,1.0,61166.12,2020-02-28,NA32,1930581284.0,1,2020-04-01
CA02,0140106408,WAL-M in,,2020.0,2960625663.0,2020-04-01,2020-04-01,2020-04-01,2020-04-11,CAD,RV,1.0,91769.35,2020-04-01,CA10,2960625663.0,1,2020-04-22
U001,0200708511,UPPER foundation,,2020.0,1930605806.0,2020-03-06,2020-03-05,2020-03-06,2020-03-21,USD,RV,1.0,40977.38,2020-03-06,NAA8,1930605806.0,1,2020-03-22
U001,0200762301,C&S WH co,,2020.0,1930768618.0,2020-04-09,2020-04-09,2020-04-09,2020-06-13,USD,RV,1.0,530.23,2020-04-09,NAGD,1930768618.0,1,2020-06-06
U001,0200706844,WINC associates,,2020.0,1930567193.0,2020-02-27,2020-02-26,2020-02-27,2020-03-13,USD,RV,1.0,26523.01,2020-02-27,NAA8,1930567193.0,1,2020-03-14
U001,100044010,LAND trust,,2020.0,1930579937.0,2020-02-28,2020-02-27,2020-02-28,2020-03-31,USD,RV,1.0,59667.3,2020-02-28,NA32,1930579937.0,1,2020-04-01
U001,0200275115,SHAWS  us,,2020.0,1930776755.0,2020-04-12,2020-04-11,2020-04-12,2020-04-27,USD,RV,1.0,30901.5,2020-04-12,NAA8,1930776755.0,1,2020-04-28
U001,0200769623,WAL-MAR associates,,2020.0,1930794382.0,2020-04-16,2020-04-16,2020-04-16,2020-05-01,USD,RV,1.0,1898.9,2020-04-16,NAH4,1930794382.0,1,2020-04-29
U001,0200726979,BJ'S  co,,2020.0,1930584586.0,2020-03-01,2020-02-29,2020-03-01,2020-03-16,USD,RV,1.0,202.08,2020-03-01,NAA8,1930584586.0,1,2020-03-17
U001,0200704045,RA llc,,2020.0,1930577219.0,2020-02-27,2020-02-27,2020-02-27,2020-03-13,USD,RV,1.0,15708.34,2020-02-27,NAA8,1930577219.0,1,2020-03-14
U001,0200886415,COSTCO in,,2020.0,1930581962.0,2020-03-04,2020-02-29,2020-03-04,2020-03-19,USD,RV,1.0,13889.7,2020-03-04,NAA8,1930581962.0,1,2020-03-20
CA02,140106408,WAL-M foundation,,2020.0,2960627942.0,2020-04-15,2020-04-15,2020-04-15,2020-04-26,CAD,RV,1.0,106280.72,2020-04-16,CA10,2960627942.0,1,2020-05-07
U001,0200357714,US  us,,2020.0,1930719349.0,2020-03-29,2020-03-30,2020-03-29,2020-04-13,USD,RV,1.0,7290.9,2020-03-29,NAA8,1930719349.0,1,2020-04-14
U001,0200353024,DECA corporation,,2020.0,1930606646.0,2020-03-05,2020-03-05,2020-03-05,2020-03-08,USD,RV,1.0,8224.26,2020-03-01,NAM1,1930606646.0,1,2020-03-06
U001,0200762301,C&S WH foundation,,2020.0,1930630315.0,2020-03-11,2020-03-10,2020-03-11,2020-03-26,USD,RV,1.0,1994.02,2020-03-11,NAC6,1930630315.0,1,2020-03-27
U001,0200769623,WAL-MAR in,,2020.0,1930843868.0,2020-05-01,2020-04-30,2020-05-01,2020-05-16,USD,RV,1.0,44348.06,2020-05-01,NAH4,1930843868.0,1,2020-05-14
U001,CCCA02,KRAFT  ,,2020.0,1930583229.0,2020-03-01,2020-03-02,2020-03-01,2020-04-05,USD,RV,1.0,16980.42,2020-03-01,NAG2,1930583229.0,1,2020-04-20
U001,0200748108,KROGER associates,,2020.0,1930768967.0,2020-04-09,2020-04-09,2020-04-09,2020-04-24,USD,RV,1.0,43120.87,2020-04-09,NAA8,1930768967.0,1,2020-04-25
U001,0200769623,WAL-MAR us,,2020.0,1930750040.0,2020-04-05,2020-04-04,2020-04-05,2020-04-20,USD,RV,1.0,4966.97,2020-04-05,NAH4,1930750040.0,1,2020-04-18
U001,0200769623,WAL-MAR co,,2020.0,1930632316.0,2020-03-11,2020-03-10,2020-03-11,2020-03-26,USD,RV,1.0,10135.82,2020-03-11,NAH4,1930632316.0,1,2020-03-24
U001,0200769623,WAL-MAR in,,2020.0,1930717591.0,2020-03-29,2020-03-29,2020-03-29,2020-04-13,USD,RV,1.0,6745.16,2020-03-29,NAH4,1930717591.0,1,2020-04-11
U001,0200592182,DECA foundation,,2020.0,1930792981.0,2020-04-16,2020-04-16,2020-04-16,2020-04-24,USD,RV,1.0,56.64,2020-04-01,NAM4,1930792981.0,1,2020-04-22
U001,0200769623,WAL-MAR systems,,2020.0,1930822460.0,2020-04-24,2020-04-24,2020-04-24,2020-05-09,USD,RV,1.0,22326.99,2020-04-24,NAH4,1930822460.0,1,2020-05-07
U001,200743996,STATER  systems,,2020.0,1930858189.0,2020-05-06,2020-05-05,2020-05-06,2020-05-21,USD,RV,1.0,11438.79,2020-05-06,NAA8,1930858189.0,1,2020-05-22
U001,0200726979,BJ'S  co,,2020.0,1930654223.0,2020-03-16,2020-03-15,2020-03-16,2020-03-31,USD,RV,1.0,292.91,2020-03-16,NAA8,1930654223.0,1,2020-04-01
U001,0100049617,SUNRIS corporation,,2020.0,1930679048.0,2020-03-20,2020-03-20,2020-03-20,2020-04-09,USD,RV,1.0,35373.21,2020-03-20,NAD1,1930679048.0,1,2020-04-13
U001,0200726979,BJ'S  ,,2020.0,1930575787.0,2020-02-28,2020-02-27,2020-02-28,2020-03-14,USD,RV,1.0,219.02,2020-02-28,NAA8,1930575787.0,1,2020-03-15
U001,0200769623,WAL-MAR systems,,2020.0,1930780964.0,2020-04-14,2020-04-13,2020-04-14,2020-04-29,USD,RV,1.0,14094.58,2020-04-14,NAH4,1930780964.0,1,2020-04-27
U001,CCCA02,KRAFT  corporation,,2020.0,1930688004.0,2020-03-26,2020-03-23,2020-03-26,2020-04-30,USD,RV,1.0,57619.1,2020-03-26,NAG2,1930688004.0,1,2020-05-04
U001,0200777735,NASH  foundation,,2020.0,1930609620.0,2020-03-13,2020-03-06,2020-03-13,2020-03-28,USD,RV,1.0,28393.09,2020-03-13,NAA8,1930609620.0,1,2020-03-29
U001,0200793568,SUPE us,,2020.0,1930789216.0,2020-04-15,2020-04-15,2020-04-15,2020-04-30,USD,RV,1.0,5756.15,2020-04-15,NAA8,1930789216.0,1,2020-05-01
U001,0200555117,BURR co,,2020.0,1930682640.0,2020-03-22,2020-03-21,2020-03-22,2020-04-06,USD,RV,1.0,69812.95,2020-03-22,NAA8,1930682640.0,1,2020-04-07
U001,0200769623,WAL-MAR llc,,2020.0,1930609482.0,2020-03-06,2020-03-05,2020-03-06,2020-03-21,USD,RV,1.0,278.73,2020-03-06,NAH4,1930609482.0,1,2020-03-19
U001,0200762301,C&S WH llc,,2020.0,1930837563.0,2020-04-29,2020-04-29,2020-04-29,2020-05-14,USD,RV,1.0,20204.32,2020-04-29,NAC6,1930837563.0,1,2020-05-15
U001,0200707005,KING S ,,2020.0,1930651363.0,2020-03-16,2020-03-14,2020-03-16,2020-03-31,USD,RV,1.0,51982.14,2020-03-16,NAA8,1930651363.0,1,2020-04-01
U001,0200712105,WALG us,,2020.0,1930803452.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,1.0,37894.85,2020-04-20,NAA8,1930803452.0,1,2020-05-06
CA02,0140104340,COLABOR  corp,,2020.0,2960622023.0,2020-03-19,2020-03-19,2020-03-19,2020-03-31,CAD,RV,1.0,383.64,2020-03-21,CA10,2960622023.0,1,2020-04-04
U001,0200769623,WAL-MAR ,,2020.0,1930592378.0,2020-03-04,2020-03-02,2020-03-04,2020-03-19,USD,RV,1.0,14417.24,2020-03-04,NAH4,1930592378.0,1,2020-03-17
U001,0200739534,OK foundation,,2020.0,1930704560.0,2020-03-26,2020-03-26,2020-03-26,2020-04-10,USD,RV,1.0,55205.13,2020-03-26,NAA8,1930704560.0,1,2020-04-11
U001,0200794332,COST corporation,,2020.0,1930731000.0,2020-04-03,2020-04-01,2020-04-03,2020-04-18,USD,RV,1.0,8793.09,2020-04-03,NAAX,1930731000.0,1,2020-04-19
U001,0200493614,US  corp,,2020.0,1930581830.0,2020-02-28,2020-02-28,2020-02-28,2020-03-31,USD,RV,1.0,13401.66,2020-02-28,NA32,1930581830.0,1,2020-04-01
U001,0200769623,WAL-MAR corp,,2020.0,1930808733.0,2020-04-22,2020-04-21,2020-04-22,2020-05-07,USD,RV,1.0,1428.1,2020-04-22,NAH4,1930808733.0,1,2020-05-05
U001,0200704045,RA llc,,2020.0,1930629725.0,2020-03-09,2020-03-10,2020-03-09,2020-03-24,USD,RV,1.0,57093.17,2020-03-09,NAA8,1930629725.0,1,2020-03-25
U001,0200769623,WAL-MAR corporation,,2020.0,1930802173.0,2020-04-20,2020-04-20,2020-04-20,2020-05-05,USD,RV,1.0,10825.26,2020-04-20,NAH4,1930802173.0,1,2020-05-03
U001,0200803720,DEC llc,,2020.0,1930614048.0,2020-03-07,2020-03-07,2020-03-07,2020-03-11,USD,RV,1.0,14143.17,2020-03-01,NAM2,1930614048.0,1,2020-03-09
U001,0200707822,PUBLI trust,,2020.0,1930687989.0,2020-03-23,2020-03-23,2020-03-23,2020-04-07,USD,RV,1.0,20153.68,2020-03-23,NAA8,1930687989.0,1,2020-04-08
U001,0200743996,STATER  foundation,,2020.0,1930686640.0,2020-03-22,2020-03-23,2020-03-22,2020-04-06,USD,RV,1.0,42145.74,2020-03-22,NAA8,1930686640.0,1,2020-04-07
U001,0200803720,DEC trust,,2020.0,1930819341.0,2020-04-23,2020-04-23,2020-04-23,2020-05-09,USD,RV,1.0,210.12,2020-04-16,NAM4,1930819341.0,1,2020-05-07
U001,100031704,DELHAIZE us,,2020.0,1930871440.0,2020-05-08,2020-05-07,2020-05-08,2020-05-23,USD,RV,1.0,55709.76,2020-05-08,NAA8,1930871440.0,1,2020-05-24
U001,0200778870,C co,,2020.0,1930597514.0,2020-03-09,2020-03-03,2020-03-09,2020-03-24,USD,RV,1.0,7217.08,2020-03-09,NAA8,1930597514.0,1,2020-03-25
U001,0200980828,BEN E corp,,2020.0,1930791227.0,2020-04-15,2020-04-15,2020-04-15,2020-04-30,USD,RV,1.0,5424.21,2020-04-15,NAA8,1930791227.0,1,2020-05-01
U001,0200744019,TARG llc,,2020.0,1930755397.0,2020-04-02,2020-04-06,2020-04-02,2020-04-17,USD,RV,1.0,12194.09,2020-04-02,NAA8,1930755397.0,1,2020-04-18
U001,0200769623,WAL-MAR llc,,2020.0,1930778372.0,2020-04-13,2020-04-11,2020-04-13,2020-04-28,USD,RV,1.0,8523.91,2020-04-13,NAH4,1930778372.0,1,2020-04-26
U001,0200416837,DEC corp,,2020.0,1930857755.0,2020-05-05,2020-05-05,2020-05-05,2020-05-11,USD,RV,1.0,2567.95,2020-05-01,NAM2,1930857755.0,1,2020-05-09
U001,0200793568,SUPE us,,2020.0,1930589353.0,2020-03-03,2020-03-02,2020-03-03,2020-03-18,USD,RV,1.0,50766.0,2020-03-03,NAA8,1930589353.0,1,2020-03-19
U001,0200014556,ALBER ,,2020.0,1930853003.0,2020-05-04,2020-05-02,2020-05-04,2020-05-19,USD,RV,1.0,99888.22,2020-05-04,NAA8,1930853003.0,1,2020-05-20
U001,0200769623,WAL-MAR co,,2020.0,1930858957.0,2020-05-07,2020-05-05,2020-05-07,2020-05-22,USD,RV,1.0,661.11,2020-05-07,NAH4,1930858957.0,1,2020-05-20
U001,0200769623,WAL-MAR trust,,2020.0,1930610486.0,2020-03-08,2020-03-06,2020-03-08,2020-03-23,USD,RV,1.0,13275.58,2020-03-08,NAH4,1930610486.0,1,2020-03-21
U001,0200762301,C&S WH us,,2020.0,1930846960.0,2020-04-30,2020-05-01,2020-04-30,2020-05-15,USD,RV,1.0,48837.6,2020-04-30,NAC6,1930846960.0,1,2020-05-16
U001,0100021540,MASTER trust,,2020.0,1930855486.0,2020-05-04,2020-05-04,2020-05-04,2020-05-14,USD,RV,1.0,23645.53,2020-05-04,NA10,1930855486.0,1,2020-05-15
U001,0200707822,PUBLI co,,2020.0,1930712274.0,2020-03-28,2020-03-28,2020-03-28,2020-04-12,USD,RV,1.0,78802.91,2020-03-28,NAA8,1930712274.0,1,2020-04-13
U001,0200726979,BJ'S  associates,,2020.0,1930690109.0,2020-03-24,2020-03-23,2020-03-24,2020-04-08,USD,RV,1.0,855.63,2020-03-24,NAA8,1930690109.0,1,2020-04-09
U001,0200704045,RA trust,,2020.0,1930842298.0,2020-04-30,2020-04-30,2020-04-30,2020-05-15,USD,RV,1.0,5324.35,2020-04-30,NAA8,1930842298.0,1,2020-05-16
U001,0200769623,WAL-MAR co,,2020.0,1930788417.0,2020-04-15,2020-04-15,2020-04-15,2020-04-30,USD,RV,1.0,355.93,2020-04-15,NAH4,1930788417.0,1,2020-04-28
U001,0200965912,C&S W foundation,,2020.0,1930687240.0,2020-03-23,2020-03-23,2020-03-23,2020-04-07,USD,RV,1.0,138649.09,2020-03-23,NAC6,1930687240.0,1,2020-04-08
U001,0200769623,WAL-MAR associates,,2020.0,1930848666.0,2020-05-03,2020-05-02,2020-05-03,2020-05-18,USD,RV,1.0,18206.69,2020-05-03,NAH4,1930848666.0,1,2020-05-16
U001,CCU002,KRFT FDS co,,2020.0,1930676911.0,2020-03-24,2020-03-20,2020-03-24,2020-04-28,USD,RV,1.0,9049.92,2020-03-24,NAG2,1930676911.0,1,2020-05-02
U001,0200762301,C&S WH us,,2020.0,1930748645.0,2020-04-04,2020-04-04,2020-04-04,2020-04-19,USD,RV,1.0,80756.29,2020-04-04,NAC6,1930748645.0,1,2020-04-20
CA02,0140104340,COLABOR  us,,2020.0,2960626462.0,2020-04-05,2020-04-05,2020-04-05,2020-04-17,CAD,RV,1.0,9319.56,2020-04-07,CA10,2960626462.0,1,2020-04-21
U001,0200762301,C&S WH trust,,2020.0,1930625374.0,2020-03-11,2020-03-10,2020-03-11,2020-03-26,USD,RV,1.0,12016.61,2020-03-11,NAC6,1930625374.0,1,2020-03-27
CA02,0140104409,LOB corporation,,2020.0,2960616937.0,2020-02-27,2020-02-27,2020-02-27,2020-03-09,CAD,RV,1.0,171863.79,2020-02-28,CA10,2960616937.0,1,2020-03-13
U001,0200777735,NASH  foundation,,2020.0,1930876367.0,2020-05-07,2020-05-07,2020-05-07,2020-05-22,USD,RV,1.0,2355.61,2020-05-07,NAA8,1930876367.0,1,2020-05-23
U001,0200418007,AM associates,,2020.0,1930637255.0,2020-03-11,2020-03-11,2020-03-11,2020-03-26,USD,RV,1.0,75109.26,2020-03-11,NAA8,1930637255.0,1,2020-03-27
U001,200769623,WAL-MAR co,,2020.0,1930752165.0,2020-04-07,2020-04-06,2020-04-07,2020-04-22,USD,RV,1.0,32424.83,2020-04-07,NAH4,1930752165.0,1,2020-04-20
U001,0200769623,WAL-MAR in,,2020.0,1930731664.0,2020-04-03,2020-04-02,2020-04-03,2020-04-18,USD,RV,1.0,36048.2,2020-04-03,NAH4,1930731664.0,1,2020-04-16
U001,0100031704,DELHAIZE corp,,2020.0,1930682612.0,2020-03-21,2020-03-21,2020-03-21,2020-04-05,USD,RV,1.0,15531.69,2020-03-21,NAA8,1930682612.0,1,2020-04-06
U001,0200759878,SA ,,2020.0,1930827045.0,2020-04-27,2020-04-26,2020-04-27,2020-05-12,USD,RV,1.0,95488.44,2020-04-27,NAH4,1930827045.0,1,2020-05-10
U001,0200769623,WAL-MAR co,,2020.0,1930857485.0,2020-05-05,2020-05-05,2020-05-05,2020-05-20,USD,RV,1.0,22023.66,2020-05-05,NAH4,1930857485.0,1,2020-05-18
U001,0200769623,WAL-MAR systems,,2020.0,1930796659.0,2020-04-17,2020-04-16,2020-04-17,2020-05-02,USD,RV,1.0,30010.7,2020-04-17,NAH4,1930796659.0,1,2020-04-30
U001,0200769623,WAL-MAR corporation,,2020.0,1930827910.0,2020-04-26,2020-04-25,2020-04-26,2020-05-11,USD,RV,1.0,661.11,2020-04-26,NAH4,1930827910.0,1,2020-05-09
U001,0200781803,JRD us,,2020.0,1930785137.0,2020-04-14,2020-04-14,2020-04-14,2020-05-04,USD,RV,1.0,519.08,2020-04-14,NAD1,1930785137.0,1,2020-05-05
U001,0200769623,WAL-MAR co,,2020.0,1930828825.0,2020-04-28,2020-04-27,2020-04-28,2020-05-13,USD,RV,1.0,67846.6,2020-04-28,NAH4,1930828825.0,1,2020-05-11
U001,0200769623,WAL-MAR systems,,2020.0,1930594653.0,2020-03-04,2020-03-03,2020-03-04,2020-03-19,USD,RV,1.0,7230.78,2020-03-04,NAH4,1930594653.0,1,2020-03-17
U001,200744019,TARG corp,,2020.0,1930875450.0,2020-05-07,2020-05-07,2020-05-07,2020-05-22,USD,RV,1.0,40302.46,2020-05-07,NAA8,1930875450.0,1,2020-05-23
U001,0200769623,WAL-MAR ,,2020.0,1930674465.0,2020-03-22,2020-03-20,2020-03-22,2020-04-06,USD,RV,1.0,34273.12,2020-03-22,NAH4,1930674465.0,1,2020-04-04
U001,0200769623,WAL-MAR corp,,2020.0,1930724683.0,2020-03-31,2020-03-31,2020-03-31,2020-04-15,USD,RV,1.0,21672.04,2020-03-31,NAH4,1930724683.0,1,2020-04-13
U001,0200769623,WAL-MAR systems,,2020.0,1930746962.0,2020-04-06,2020-04-04,2020-04-06,2020-04-21,USD,RV,1.0,61.29,2020-04-06,NAH4,1930746962.0,1,2020-04-19
U001,0200769623,WAL-MAR foundation,,2020.0,1930584750.0,2020-03-02,2020-02-29,2020-03-02,2020-03-17,USD,RV,1.0,102.7,2020-03-02,NAH4,1930584750.0,1,2020-03-15
U001,0200769623,WAL-MAR ,,2020.0,1930582027.0,2020-02-29,2020-02-28,2020-02-29,2020-03-15,USD,RV,1.0,9654.67,2020-02-29,NAH4,1930582027.0,1,2020-03-13
U001,0200707822,PUBLI associates,,2020.0,1930583158.0,2020-03-02,2020-02-29,2020-03-02,2020-03-17,USD,RV,1.0,71767.23,2020-03-02,NAA8,1930583158.0,1,2020-03-18
U001,0200769623,WAL-MAR ,,2020.0,1930643056.0,2020-03-13,2020-03-12,2020-03-13,2020-03-28,USD,RV,1.0,1898.9,2020-03-13,NAH4,1930643056.0,1,2020-03-26
U001,0200769623,WAL-MAR trust,,2020.0,1930846598.0,2020-05-04,2020-05-02,2020-05-04,2020-05-19,USD,RV,1.0,35954.58,2020-05-04,NAH4,1930846598.0,1,2020-05-17
U001,0200779906,BOZZU corporation,,2020.0,1930627830.0,2020-03-10,2020-03-10,2020-03-10,2020-03-25,USD,RV,1.0,19805.21,2020-03-10,NAA8,1930627830.0,1,2020-03-26
U001,0200793830,M foundation,,2020.0,1930801278.0,2020-04-19,2020-04-19,2020-04-19,2020-05-04,USD,RV,1.0,100382.67,2020-04-19,NAA8,1930801278.0,1,2020-05-05
U001,0200762301,C&S WH llc,,2020.0,1930788385.0,2020-04-16,2020-04-15,2020-04-16,2020-05-01,USD,RV,1.0,9386.25,2020-04-16,NAC6,1930788385.0,1,2020-05-02
U001,0200042747,HALFON corp,,2020.0,1930689798.0,2020-03-27,2020-03-24,2020-03-27,2020-04-11,USD,RV,1.0,36984.49,2020-03-27,NAA8,1930689798.0,1,2020-04-12
U001,0200772595,SAFEW co,,2020.0,1930789448.0,2020-04-17,2020-04-15,2020-04-17,2020-05-02,USD,RV,1.0,62991.98,2020-04-17,NAA8,1930789448.0,1,2020-05-03
U001,0200762301,C&S WH trust,,2020.0,1930647701.0,2020-03-14,2020-03-13,2020-03-14,2020-03-29,USD,RV,1.0,1770.21,2020-03-14,NAC6,1930647701.0,1,2020-03-30
U001,0200782001,GORDO co,,2020.0,1930576090.0,2020-02-28,2020-02-27,2020-02-28,2020-03-14,USD,RV,1.0,47334.16,2020-02-28,NAA8,1930576090.0,1,2020-03-15
U001,0200759878,SA foundation,,2020.0,1930782070.0,2020-04-14,2020-04-14,2020-04-14,2020-04-29,USD,RV,1.0,102.64,2020-04-14,NAX2,1930782070.0,1,2020-08-27
U001,0200780383,MEIJ foundation,,2020.0,1930597421.0,2020-03-04,2020-03-03,2020-03-04,2020-03-19,USD,RV,1.0,20894.37,2020-03-04,NAA8,1930597421.0,1,2020-03-20
U001,0200769623,WAL-MAR trust,,2020.0,1930661352.0,2020-03-18,2020-03-17,2020-03-18,2020-04-02,USD,RV,1.0,661.11,2020-03-18,NAH4,1930661352.0,1,2020-03-31
